Rank,Company Name,Number of Employees,"Change in 
Rank","Revenues
($millions)","Revenue
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/31/22 ($m)"
1,Walmart,"2,300,000",-,"$572,754",2.40%,"$13,673.00",1.20%,"$244,860","$409,795"
2,Amazon,"1,608,000",-,"$469,822",21.70%,"$33,364.00",56.40%,"$420,549","$1,658,807"
3,Apple,"154,000",-,"$365,817",33.30%,"$94,680.00",64.90%,"$351,002","$2,849,538"
4,CVS Health,"258,000",-,"$292,111",8.70%,"$7,910.00",10.20%,"$232,999","$132,839"
5,UnitedHealth Group,"350,000",-,"$287,597",11.80%,"$17,285.00",12.20%,"$212,206","$479,830"
6,Exxon Mobil,"63,000",4,"$285,640",57.40%,"$23,040.00",-,"$338,923","$349,652"
7,Berkshire Hathaway,"372,000",-1,"$276,094",12.50%,"$89,795.00",111.20%,"$958,784","$779,542"
8,Alphabet,"156,500",1,"$257,637",41.20%,"$76,033.00",88.80%,"$359,268","$1,842,326"
9,McKesson,"67,500",-2,"$238,228",3.10%,"-$4,539.00",-604.30%,"$65,015","$45,858"
10,AmerisourceBergen,"40,000",-2,"$213,989",12.70%,"$1,539.90",-,"$57,338","$32,356"
11,Costco Wholesale,"288,000",1,"$195,929",17.50%,"$5,007.00",25.10%,"$59,268","$255,231"
12,Cigna,"72,963",1,"$174,078",8.50%,"$5,365.00",-36.60%,"$154,889","$76,286"
13,AT&T,"202,600",-2,"$168,864",-1.70%,"$20,081.00",-,"$551,622","$169,262"
14,Microsoft,"181,000",1,"$168,088",17.50%,"$61,271.00",38.40%,"$333,779","$2,311,359"
15,Cardinal Health,"46,827",-1,"$162,467",6.20%,$611.00,-,"$44,453","$15,709"
16,Chevron,"42,595",11,"$162,465",71.60%,"$15,625.00",-,"$239,535","$317,120"
17,Home Depot,"490,600",1,"$151,157",14.40%,"$16,433.00",27.70%,"$71,876","$309,313"
18,Walgreens Boots Alliance,"258,500",-2,"$148,579",6.50%,"$2,542.00",457.50%,"$81,285","$38,671"
19,Marathon Petroleum,"17,700",13,"$141,032",58.50%,"$9,738.00",-,"$85,373","$47,758"
20,Anthem,"98,200",3,"$138,639",13.80%,"$6,104.00",33.50%,"$97,460","$118,534"
21,Kroger,"420,000",-4,"$137,888",4.10%,"$1,655.00",-36.00%,"$49,086","$41,496"
22,Ford Motor,"183,000",-1,"$136,341",7.20%,"$17,937.00",-,"$257,035","$67,958"
23,Verizon Communications,"118,400",-3,"$133,613",4.10%,"$22,065.00",24.00%,"$366,596","$213,837"
24,JPMorgan Chase,"271,025",-5,"$127,202",-1.80%,"$48,334.00",65.90%,"$3,743,567","$402,527"
25,General Motors,"157,000",-3,"$127,004",3.70%,"$10,019.00",55.90%,"$244,718","$63,555"
26,Centene,"72,500",-2,"$125,982",13.40%,"$1,347.00",-25.50%,"$78,375","$49,072"
27,Meta Platforms,"71,970",7,"$117,929",37.20%,"$39,370.00",35.10%,"$165,987","$605,251"
28,Comcast,"189,000",-2,"$116,385",12.40%,"$14,159.00",34.40%,"$275,905","$212,246"
29,Phillips 66,"14,000",19,"$114,852",75.40%,"$1,317.00",-,"$55,594","$41,561"
30,Valero Energy,"9,804",23,"$108,332",80.20%,$930.00,-,"$57,888","$41,572"
31,Dell Technologies,"133,000",-3,"$106,995",13.60%,"$5,563.00",71.20%,"$92,735","$38,164"
32,Target,"450,000",-2,"$106,005",13.30%,"$6,946.00",59.00%,"$53,811","$98,134"
33,Fannie Mae,"7,400",-8,"$101,543",-4.60%,"$22,176.00",87.90%,"$4,229,166",$909
34,UPS,"400,945",1,"$97,287",15.00%,"$12,890.00",859.80%,"$69,405","$186,817"
35,Lowe's,"270,000",-4,"$96,250",7.40%,"$8,442.00",44.70%,"$44,640","$133,761"
36,Bank of America,"208,248",-7,"$93,851",0.10%,"$31,978.00",78.70%,"$3,169,495","$332,433"
37,Johnson & Johnson,"141,700",-1,"$93,775",13.60%,"$20,878.00",41.90%,"$182,018","$466,047"
38,Archer Daniels Midland,"39,979",13,"$85,249",32.50%,"$2,709.00",52.90%,"$56,136","$50,769"
39,FedEx,"484,000",6,"$83,959",21.30%,"$5,231.00",306.80%,"$82,777","$59,971"
40,Humana,"95,500",1,"$83,064",7.70%,"$2,933.00",-12.90%,"$44,358","$55,155"
41,Wells Fargo,"247,848",-4,"$82,407",2.60%,"$21,548.00",552.80%,"$1,948,068","$184,225"
42,State Farm Insurance,"53,586",-3,"$82,225",4.20%,"$1,280.90",-65.70%,"$325,349",-
43,Pfizer,"79,000",34,"$81,288",94.00%,"$21,979.00",128.60%,"$181,476","$292,385"
44,Citigroup,"221,768",-11,"$79,865",-10.10%,"$21,952.00",98.70%,"$2,291,413","$105,330"
45,PepsiCo,"309,000",-1,"$79,474",12.90%,"$7,618.00",7.00%,"$92,377","$231,528"
46,Intel,"121,100",-6,"$79,024",1.50%,"$19,868.00",-4.90%,"$168,406","$202,636"
47,Procter & Gamble,"101,000",-4,"$76,118",7.30%,"$14,306.00",9.80%,"$119,307","$366,272"
48,General Electric,"168,000",-10,"$74,196",-6.80%,"-$6,520.00",-214.30%,"$198,874","$100,810"
49,IBM,"297,800",-7,"$72,344",-1.70%,"$5,743.00",2.70%,"$132,001","$116,928"
50,MetLife,"43,000",-4,"$71,080",4.80%,"$6,554.00",21.20%,"$759,708","$57,987"
51,Prudential Financial,"40,916",4,"$70,934",24.40%,"$7,724.00",-,"$937,582","$44,482"
52,Albertsons,"300,000",-,"$69,690",11.60%,$850.20,82.30%,"$26,598","$16,064"
53,Walt Disney,"171,000",-3,"$67,418",3.10%,"$1,995.00",-,"$203,609","$249,718"
54,Energy Transfer,"12,558",27,"$67,417",73.10%,"$5,470.00",-,"$105,963","$34,497"
55,Lockheed Martin,"114,000",-6,"$67,044",2.50%,"$6,315.00",-7.60%,"$50,873","$117,648"
56,Freddie Mac,"7,301",-9,"$65,898",-0.50%,"$12,109.00",65.30%,"$3,025,586",$510
57,Goldman Sachs Group,"43,900",2,"$64,989",21.50%,"$21,635.00",128.70%,"$1,463,988","$117,668"
58,Raytheon Technologies,"174,000",-1,"$64,388",13.80%,"$3,864.00",-,"$161,404","$147,641"
59,HP,"51,000",-3,"$63,487",12.10%,"$6,503.00",128.70%,"$38,610","$38,237"
60,Boeing,"142,000",-6,"$62,286",7.10%,"-$4,202.00",-,"$138,552","$113,059"
61,Morgan Stanley,"74,814",-,"$61,121",17.40%,"$15,034.00",36.70%,"$1,188,140","$155,686"
62,HCA Healthcare,"244,000",-,"$58,752",14.00%,"$6,956.00",85.30%,"$50,742","$75,692"
63,AbbVie,"50,000",5,"$56,197",22.70%,"$11,542.00",150.00%,"$146,529","$286,332"
64,Dow,"35,700",18,"$54,968",42.60%,"$6,311.00",415.20%,"$62,990","$46,840"
65,Tesla,"99,290",35,"$53,823",70.70%,"$5,519.00",665.50%,"$62,131","$1,113,708"
66,Allstate,"54,500",4,"$53,228",18.80%,"$1,599.00",-71.30%,"$99,440","$38,554"
67,AIG,"36,600",5,"$52,057",19.00%,"$9,388.00",-,"$596,112","$50,608"
68,Best Buy,"81,375",-2,"$51,761",9.50%,"$2,454.00",36.50%,"$17,504","$20,473"
69,Charter Communications,"93,700",-5,"$51,682",7.50%,"$4,654.00",44.40%,"$142,491","$112,803"
70,Sysco,"57,710",-10,"$51,298",-3.00%,$524.20,143.30%,"$21,414","$41,433"
71,Merck,"67,500",-6,"$51,216",6.70%,"$13,049.00",84.60%,"$105,694","$207,401"
72,New York Life Insurance,"14,344",-5,"$51,199",9.60%,$277.10,-,"$379,985",-
73,Caterpillar,"107,700",5,"$50,971",22.10%,"$6,489.00",116.40%,"$82,793","$119,407"
74,Cisco Systems,"79,500",-11,"$49,818",1.00%,"$10,591.00",-5.60%,"$97,497","$231,636"
75,TJX,"340,000",22,"$48,550",51.10%,"$3,282.80",3528.60%,"$28,462","$71,195"
76,Publix Super Markets,"232,000",-7,"$48,394",7.10%,"$4,412.20",11.10%,"$31,524",-
77,ConocoPhillips,"9,900",79,"$48,349",151.10%,"$8,079.00",-,"$90,661","$129,605"
78,Liberty Mutual Insurance Group,"45,000",-7,"$48,200",10.10%,"$3,068.00",304.70%,"$156,043",-
79,Progressive,"49,077",-5,"$47,702",11.80%,"$3,350.90",-41.30%,"$71,132","$66,670"
80,Nationwide,"24,134",-4,"$47,376",13.00%,"$1,617.20",-,"$278,412",-
81,Tyson Foods,"137,000",-8,"$47,049",8.90%,"$3,047.00",47.80%,"$36,309","$32,488"
82,Bristol-Myers Squibb,"32,200",-7,"$46,385",9.10%,"$6,994.00",-,"$109,314","$155,204"
83,Nike,"73,300",2,"$44,538",19.10%,"$5,727.00",125.60%,"$37,740","$212,779"
84,Deere,"75,550",4,"$44,024",23.90%,"$5,963.00",116.80%,"$84,114","$127,457"
85,American Express,"64,000",-2,"$43,663",14.30%,"$8,060.00",157.10%,"$188,548","$141,613"
86,Abbott Laboratories,"113,000",3,"$43,075",24.50%,"$7,071.00",57.30%,"$75,196","$208,726"
87,StoneX Group,"3,242",-29,"$42,534",-21.40%,$116.30,-31.40%,"$18,840","$1,494"
88,Plains GP Holdings,"4,100",39,"$42,078",80.70%,$60.00,-,"$29,978","$2,243"
89,Enterprise Products Partners,"6,911",16,"$40,807",50.00%,"$4,637.70",22.80%,"$67,526","$56,172"
90,TIAA,"15,065",-11,"$40,526",-2.60%,"$4,060.70",627.60%,"$698,191",-
91,Oracle,"132,000",-11,"$40,479",3.60%,"$13,746.00",35.60%,"$131,107","$220,737"
92,Thermo Fisher Scientific,"129,000",3,"$39,211",21.70%,"$7,725.00",21.20%,"$95,123","$231,057"
93,Coca-Cola,"79,000",-,"$38,655",17.10%,"$9,771.00",26.10%,"$94,354","$268,770"
94,General Dynamics,"103,100",-10,"$38,469",1.40%,"$3,257.00",2.80%,"$50,073","$67,081"
95,CHS,"9,941",8,"$38,448",35.40%,$554.00,31.10%,"$17,576",-
96,USAA,"37,335",-9,"$37,470",3.20%,"$3,300.00",-15.50%,"$210,677",-
97,Northwestern Mutual,"7,585",-7,"$36,751",8.80%,$977.80,130.10%,"$334,654",-
98,Nucor,"28,800",51,"$36,484",81.20%,"$6,827.50",846.30%,"$25,823","$39,954"
99,Exelon,"31,518",-7,"$36,347",10.00%,"$1,706.00",-13.10%,"$133,013","$46,684"
100,Massachusetts Mutual Life Insurance,"10,052",23,"$35,900",51.70%,$319.30,-,"$383,292",-
101,Northrop Grumman,"88,000",-15,"$35,667",-3.10%,"$7,005.00",119.70%,"$42,579","$69,812"
102,3M,"95,000",-6,"$35,355",9.90%,"$5,921.00",10.00%,"$47,072","$84,738"
103,Travelers,"30,492",-5,"$34,816",8.90%,"$3,662.00",35.80%,"$120,466","$44,129"
104,Arrow Electronics,"20,700",-2,"$34,477",20.20%,"$1,108.20",89.60%,"$19,536","$7,951"
105,Honeywell International,"99,000",-11,"$34,392",5.40%,"$5,542.00",16.00%,"$64,470","$133,381"
106,Dollar General,"163,000",-15,"$34,220",1.40%,"$2,399.20",-9.60%,"$26,327","$50,953"
107,Qualcomm,"45,000",17,"$33,566",42.60%,"$9,043.00",74.00%,"$41,240","$172,228"
108,Capital One Financial,"50,767",-9,"$32,033",1.20%,"$12,390.00",356.50%,"$432,381","$53,260"
109,TD Synnex,"27,000",8,"$31,614",28.10%,$395.10,-25.30%,"$27,666","$9,854"
110,Philip Morris International,"69,600",-9,"$31,405",9.40%,"$9,109.00",13.10%,"$41,290","$145,615"
111,World Fuel Services,"4,414",36,"$31,337",53.90%,$73.70,-32.80%,"$5,942","$1,716"
112,Performance Food Group,"22,885",2,"$30,399",21.20%,$40.70,-,"$7,846","$7,881"
113,Delta Air Lines,"83,000",65,"$29,899",74.90%,$280.00,-,"$72,459","$25,322"
114,American Airlines Group,"123,400",60,"$29,882",72.40%,"-$1,993.00",-,"$66,467","$11,847"
115,Netflix,"11,300",-,"$29,698",18.80%,"$5,116.20",85.30%,"$44,585","$166,304"
116,Paramount Global,"25,115",-7,"$29,579",13.00%,"$4,543.00",87.60%,"$58,620","$24,629"
117,US Foods Holding,"28,000",11,"$29,487",28.80%,$164.00,-,"$12,521","$8,392"
118,Danaher,"79,000",12,"$29,453",32.20%,"$6,433.00",76.40%,"$83,184","$209,993"
119,Jabil,"238,000",-15,"$29,285",7.40%,$696.00,1191.00%,"$16,654","$8,857"
120,Starbucks,"383,000",5,"$29,061",23.60%,"$4,199.30",352.40%,"$31,393","$104,643"
121,Mondelez International,"79,000",-13,"$28,720",8.00%,"$4,300.00",21.00%,"$67,092","$87,159"
122,Eli Lilly,"35,238",-4,"$28,318",15.40%,"$5,581.70",-9.90%,"$48,806","$272,724"
123,Hewlett Packard Enterprise,"60,400",-17,"$27,784",3.00%,"$3,427.00",-,"$57,699","$21,725"
124,D.R. Horton,"11,788",24,"$27,774",36.70%,"$4,175.80",75.90%,"$24,016","$26,403"
125,Molina Healthcare,"14,000",30,"$27,771",43.00%,$659.00,-2.10%,"$12,209","$19,573"
126,CBRE Group,"105,000",-4,"$27,746",16.50%,"$1,836.60",144.20%,"$22,074","$30,414"
127,Micron Technology,"43,000",8,"$27,705",29.30%,"$5,861.00",118.10%,"$58,849","$86,977"
